     4	  200	bolo_geom_174240.dat	 4-May-2018 23:01:07
 m	m	m	m
 RSTART	ZSTART	  REND	  ZEND
  2.349E+00	-6.688E-01	 1.016E+00	 8.248E-01
  2.349E+00	-6.688E-01	 1.016E+00	 8.839E-01
  2.349E+00	-6.688E-01	 1.016E+00	 9.457E-01
  2.349E+00	-6.688E-01	 1.016E+00	 1.010E+00
  2.349E+00	-6.688E-01	 1.016E+00	 1.078E+00
  2.349E+00	-6.688E-01	 1.015E+00	 1.151E+00
  2.349E+00	-6.688E-01	 1.060E+00	 1.163E+00
  2.349E+00	-6.688E-01	 1.110E+00	 1.166E+00
  2.349E+00	-6.688E-01	 1.156E+00	 1.174E+00
  2.349E+00	-6.688E-01	 1.195E+00	 1.191E+00
  2.349E+00	-6.688E-01	 1.227E+00	 1.219E+00
  2.349E+00	-6.688E-01	 1.251E+00	 1.262E+00
  2.349E+00	-6.688E-01	 1.272E+00	 1.312E+00
  2.349E+00	-6.688E-01	 1.401E+00	 1.158E+00
  2.349E+00	-6.688E-01	 1.435E+00	 1.180E+00
  2.349E+00	-6.688E-01	 1.511E+00	 1.111E+00
  2.349E+00	-6.688E-01	 1.556E+00	 1.103E+00
  2.349E+00	-6.688E-01	 1.600E+00	 1.094E+00
  2.349E+00	-6.688E-01	 1.647E+00	 1.077E+00
  2.349E+00	-6.688E-01	 1.686E+00	 1.077E+00
  2.349E+00	-6.688E-01	 1.724E+00	 1.077E+00
  2.349E+00	-6.688E-01	 1.761E+00	 1.077E+00
  2.349E+00	-6.688E-01	 1.799E+00	 1.075E+00
  2.349E+00	-6.688E-01	 1.837E+00	 1.070E+00
  2.349E+00	-6.688E-01	 1.875E+00	 1.065E+00
  2.349E+00	-6.688E-01	 1.912E+00	 1.061E+00
  2.349E+00	-6.688E-01	 1.948E+00	 1.056E+00
  2.349E+00	-6.688E-01	 1.984E+00	 1.051E+00
